date,temp_mean,temp_max,temp_min,temp_df
2017/6/3,24.6224,25.61,23.484,2.126
2017/6/4,25.2629166666667,29.252,23.484,5.768
2017/6/5,27.3701666666667,33.848,21.855,11.993
2017/6/6,28.56925,38.268,23.1,15.168
2017/6/7,26.1043333333333,32.086,23.004,9.082
2017/6/8,25.845,32.704,22.717,9.987
2017/6/9,26.5007916666667,35.115,22.621,12.494
2017/6/10,28.498,36.837,23.292,13.545
2017/6/11,29.395,39.276,22.429,16.847
2017/6/12,28.4070454545455,37.165,23.484,13.681
2017/6/13,26.1830416666667,31.983,23.581,8.402
2017/6/14,26.3705,31.778,22.142,9.636
2017/6/15,21.139875,22.429,19.662,2.767
2017/6/16,20.1545833333333,21.569,19.282,2.287
2017/6/17,21.1327916666667,23.196,19.662,3.534
2017/6/18,21.8304583333333,24.351,20.043,4.308
2017/6/19,23.667125,27.075,20.901,6.174
2017/6/20,23.8165,26.977,22.429,4.548
2017/6/21,24.53475,28.159,22.429,5.73
2017/6/22,25.5979545454545,30.154,23.1,7.054
2017/6/23,28.1680833333333,35.435,23.581,11.854
2017/6/24,28.3027083333333,35.115,22.812,12.303
2017/6/25,28.3278333333333,35.115,22.908,12.207
2017/6/26,24.2155,25.513,22.525,2.988
2017/6/27,23.1013333333333,25.125,22.333,2.792
2017/6/28,25.9462083333333,33.848,22.238,11.61
2017/6/29,26.1936666666667,36.295,22.046,14.249
2017/6/30,27.6355,36.837,21.664,15.173
2017/7/1,26.08975,33.222,22.429,10.793
2017/7/2,27.2955,35.864,21.76,14.104
2017/7/3,27.0313333333333,34.796,22.142,12.654
2017/7/4,27.6326666666667,35.756,22.812,12.944
2017/7/5,26.7852916666667,35.756,22.525,13.231
2017/7/6,27.1722083333333,34.479,22.812,11.667
2017/7/7,26.6220833333333,34.374,22.621,11.753
2017/7/8,26.793625,34.796,22.812,11.984
2017/7/9,27.8584166666667,35.971,22.238,13.733
2017/7/10,29.0416666666667,37.165,23.004,14.161
2017/7/11,28.53275,38.046,22.046,16
2017/7/12,28.8600833333333,37.824,22.429,15.395
2017/7/13,29.1652083333333,37.604,22.908,14.696
2017/7/14,28.5140833333333,37.274,22.812,14.462
2017/7/15,29.049125,37.384,22.429,14.955
2017/7/16,29.76825,37.274,22.429,14.845
2017/7/17,26.9207916666667,36.079,22.908,13.171
2017/7/18,27.1637083333333,33.535,22.717,10.818
2017/7/19,28.2020416666667,36.946,22.046,14.9
2017/7/20,28.7606666666667,37.274,21.569,15.705
2017/7/21,29.7460416666667,37.824,22.908,14.916
2017/7/22,30.1013333333333,38.046,22.717,15.329
2017/7/23,29.782125,38.379,22.238,16.141
2017/7/24,31.2978235294118,39.276,23.004,16.272
